Transaction_ID,Date,Amount,Merchant,Card_Number,Transaction_Type
1,2023-11-24 22:34:55,188.2,Best Buy,6331,Not Fraudulent
2,2023-05-30 14:44:47,120.01,Amazon,5741,Not Fraudulent
3,2023-10-22 08:38:49,148.94,Walmart,8066,Not Fraudulent
4,2023-12-12 17:40:29,212.04,Amazon,6688,Not Fraudulent
5,2023-06-13 08:00:40,193.38,Amazon,3049,Not Fraudulent
6,2023-01-16 17:20:30,51.14,Target,8573,Not Fraudulent
7,2023-04-11 13:16:44,147.5,Target,6366,Not Fraudulent
8,2023-07-18 13:25:32,92.43,Gas Station,,Not Fraudulent
9,2023-07-08 17:10:27,94.84,Amazon,,Not Fraudulent
10,2023-06-07 06:15:34,120.53,Amazon,,Not Fraudulent
11,2023-12-23 14:33:51,107.2,Amazon,3078,Not Fraudulent
12,2023-11-01 09:31:56,172.71,Walmart,3371,
13,2023-11-19 06:47:22,138.05,Starbucks,5848,
14,2023-04-28 19:04:46,106.08,Starbucks,5976,
15,2023-07-05 02:12:20,122.19,Amazon,7539,
16,2023-05-20 01:15:43,116.68,Gas Station,0,
17,2023-08-15 13:30:52,174.7,Target,0,
18,2023-12-13 06:52:46,89.74,Target,0,
19,2023-12-19 16:13:32,115.65,,7873,
20,2023-03-26 20:02:01,57.3,,6378,
21,2023-07-16 00:01:20,-27.65,,3482,
22,2023-02-24 02:07:30,132.68,Amazon,1608,
23,2023-04-20 10:55:08,143.22,Starbucks,1217,
24,2023-02-24 06:31:30,62.89,Gas Station,1473,Not Fraudulent
25,2023-10-21 12:36:20,213.49,Starbucks,1120,Not Fraudulent
26,2023-02-06 19:53:12,27.28,Gas Station,7288,Not Fraudulent
27,2023-08-29 03:37:00,0,Best Buy,9904,Not Fraudulent
28,2023-11-07 10:58:19,0,Gas Station,8141,Not Fraudulent
29,2023-04-08 06:53:17,0,Best Buy,4905,Not Fraudulent
30,2023-12-20 07:26:58,1,Target,8312,Not Fraudulent
31,2023-07-26 19:51:10,107.75,Starbucks,9662,Not Fraudulent
32,2023-10-01 20:40:54,118.91,Amazon,2529,Not Fraudulent
33,2023-11-11 15:46:19,55.61,Walmart,1460,Not Fraudulent
34,2023-08-22 18:08:02,0.96,Target,7888,Not Fraudulent
35,2023-12-17 08:47:46,82.6,Target,3700,Not Fraudulent
36,2023-02-27 01:46:46,107.82,Target,8172,Not Fraudulent
37,2023-05-01 10:47:05,161.51,Walmart,,Not Fraudulent
38,2023-02-08 08:32:27,160.12,Best Buy,,Not Fraudulent
39,2023-10-11 10:31:29,80.63,Walmart,,Not Fraudulent
40,2023-01-29 15:19:45,84.88,Best Buy,5712,Not Fraudulent
41,2023-12-16 01:46:48,47.57,Amazon,8530,Not Fraudulent
42,2023-11-27 06:59:26,29.0,,5185,Not Fraudulent
43,2023-09-23 15:11:32,14.69,,7932,Not Fraudulent
44,2023-05-09 05:39:40,197.54,,1174,Not Fraudulent
45,2023-07-03 08:41:20,74.52,,2466,Not Fraudulent
46,2023-08-06 09:50:30,78.1,Walmart,6207,Not Fraudulent
47,2023-02-09 02:36:11,37.36,Target,8703,Not Fraudulent
48,2023-05-18 09:34:27,138.87,Walmart,3517,Not Fraudulent
49,2023-06-18 14:46:29,19.31,Starbucks,7656,Not Fraudulent
50,2023-05-03 19:10:00,89.36,Amazon,8984,Not Fraudulent
51,2023-08-26 05:52:45,55.23,Gas Station,3005,Not Fraudulent
52,2023-09-06 17:10:43,119.35,Best Buy,3005,Not Fraudulent
53,2023-12-21 13:52:47,74.46,Target,4431,Not Fraudulent
54,2023-03-21 09:52:14,40.97,Walmart,2972,Not Fraudulent
55,2023-08-03 13:53:38,98.59,Amazon,1267,Not Fraudulent
56,2023-07-05 06:03:12,121.42,Amazon,9377,Not Fraudulent
57,2023-06-21 22:12:04,103.33,Starbucks,2855,Not Fraudulent
58,2023-12-03 01:16:23,115.12,Walmart,3499,Not Fraudulent
59,2023-07-22 11:22:05,68.28,Gas Station,2725,Not Fraudulent
60,2023-04-12 03:57:51,81.86,Best Buy,1629,Not Fraudulent
61,2023-01-25 04:29:16,66.38,Starbucks,4963,Not Fraudulent
62,2023-11-09 15:24:11,82.02,Walmart,2903,Not Fraudulent
63,2023-12-23 16:42:47,59.34,Walmart,2826,Not Fraudulent
64,2023-08-02 02:14:53,13.69,Starbucks,2431,Not Fraudulent
65,2023-12-22 17:41:14,108.87,Gas Station,3285,Not Fraudulent
66,2023-01-06 10:52:41,79.91,Target,2413,Not Fraudulent
67,2023-02-06 05:21:24,18.49,Target,4124,Not Fraudulent
68,2023-10-07 12:08:01,123.14,Gas Station,9900,Not Fraudulent
69,2023-11-23 06:13:03,54.64,Best Buy,6106,Not Fraudulent
70,2023-06-04 21:18:17,102.6,Starbucks,9123,Not Fraudulent
